Date,Home Team,Away Team,Prediction
2024-03-01,Ottawa Senators,Arizona Coyotes,1.73
2024-03-01,Washington Capitals,Philadelphia Flyers,-0.34
2024-03-01,Anaheim Ducks,New Jersey Devils,-0.96
2024-03-02,Carolina Hurricanes,Winnipeg Jets,0.64
2024-03-02,Detroit Red Wings,Florida Panthers,-0.8
2024-03-02,Seattle Kraken,Edmonton Oilers,0.86
2024-03-02,Nashville Predators,Colorado Avalanche,1.47
2024-03-02,St Louis Blues,Minnesota Wild,0.59
2024-03-02,Buffalo Sabres,Vegas Golden Knights,-0.14
2024-03-02,Philadelphia Flyers,Ottawa Senators,1.14
2024-03-02,Tampa Bay Lightning,Montreal Canadiens,-0.68
2024-03-02,Toronto Maple Leafs,New York Rangers,0.7
2024-03-02,New York Islanders,Boston Bruins,1.55
2024-03-02,Dallas Stars,San Jose Sharks,1.39
2024-03-02,Chicago Blackhawks,Columbus Blue Jackets,-0.02
2024-03-02,Calgary Flames,Pittsburgh Penguins,0.98
2024-03-03,Washington Capitals,Arizona Coyotes,1.15
2024-03-03,Los Angeles Kings,New Jersey Devils,0.98
2024-03-03,Buffalo Sabres,Winnipeg Jets,2.02
2024-03-03,Minnesota Wild,San Jose Sharks,1.94
2024-03-03,Anaheim Ducks,Vancouver Canucks,-0.26
2024-03-03,Edmonton Oilers,Pittsburgh Penguins,-0.21
2024-03-04,Columbus Blue Jackets,Vegas Golden Knights,0.47
2024-03-04,New York Rangers,Florida Panthers,-0.59
2024-03-04,Toronto Maple Leafs,Boston Bruins,2.97
2024-03-04,Philadelphia Flyers,St Louis Blues,0.57
2024-03-04,Colorado Avalanche,Chicago Blackhawks,2.39
2024-03-04,Calgary Flames,Seattle Kraken,1.11
