Date,Home Team,Away Team,X Home Goals,X Away Goals,X Home Spread,X Winner,Home Goals,Away Goals,Winner
2024-03-05,New Jersey Devils,Florida Panthers,2.68,3.9,-1.22,Florida Panthers,3,5,Panthers
2024-03-05,Pittsburgh Penguins,Columbus Blue Jackets,3.29,4.02,-0.73,Columbus Blue Jackets,5,3,Penguins
2024-03-05,Boston Bruins,Edmonton Oilers,3.42,4.02,-0.6,Edmonton Oilers,1,2,Oilers 
2024-03-05,New York Islanders,St Louis Blues,3.34,3.51,-0.17,St Louis Blues,4,2,Islanders
2024-03-05,Nashville Predators,Montreal Canadiens,4.13,3.04,1.09,Nashville Predators,3,4,Canadiens
2024-03-05,Winnipeg Jets,Seattle Kraken,3.35,3.0,0.35,Winnipeg Jets,3,4,Kraken
2024-03-05,Arizona Coyotes,Chicago Blackhawks,3.77,3.51,0.26,Arizona Coyotes,2,5,Blackhawks
2024-03-05,Los Angeles Kings,Vancouver Canucks,3.79,3.2,0.59,Los Angeles Kings,1,2,Canucks
2024-03-05,San Jose Sharks,Dallas Stars,3.32,3.73,-0.41,Dallas Stars,6,7,Stars
2024-03-06,Toronto Maple Leafs,Buffalo Sabres,3.8,3.26,0.54,Toronto Maple Leafs,2,1,Maple Leafs
2024-03-06,Colorado Avalanche,Detroit Red Wings,3.24,3.49,-0.25,Detroit Red Wings,7,2,Avalanche
2024-03-06,Anaheim Ducks,Ottawa Senators,4.14,4.04,0.1,Anaheim Ducks,2,1,Ducks
2024-03-10,Pittsburgh Penguins,Edmonton Oilers,3.56,4.23,-0.67,Edmonton Oilers,0,4,Oilers
2024-03-10,Minnesota Wild,Nashville Predators,3.37,3.51,-0.14,Nashville Predators,4,3,Wild
2024-03-10,Carolina Hurricanes,Calgary Flames,3.67,3.22,0.45,Carolina Hurricanes,7,2,Hurricanes
2024-03-10,Chicago Blackhawks,Arizona Coyotes,3.3,3.57,-0.27,Arizona Coyotes,7,4,Blackhawks
2024-03-10,Anaheim Ducks,New York Islanders,4.13,4.84,-0.71,New York Islanders,1,6,Islanders
2024-03-11,Boston Bruins,St Louis Blues,3.27,3.32,-0.05,St Louis Blues,1,5,Blues
2024-03-11,New York Rangers,New Jersey Devils,3.71,2.84,0.87,New York Rangers,3,1,Rangers
2024-03-11,Winnipeg Jets,Washington Capitals,3.3,3.37,-0.07,Washington Capitals,3,0,Jets
2024-03-11,Los Angeles Kings,New York Islanders,3.32,4.3,-0.98,New York Islanders,3,0,Kings
2024-03-12,Buffalo Sabres,Detroit Red Wings,3.59,3.64,-0.05,Detroit Red Wings,7,3,Sabres
2024-03-12,Montreal Canadiens,Columbus Blue Jackets,3.49,4.01,-0.52,Columbus Blue Jackets,3,0,Canadiens
2024-03-12,Ottawa Senators,Pittsburgh Penguins,3.43,3.69,-0.26,Pittsburgh Penguins,2,1,Senators
2024-03-12,Philadelphia Flyers,San Jose Sharks,3.3,3.61,-0.31,San Jose Sharks,3,2,Flyers
2024-03-12,Carolina Hurricanes,New York Rangers,3.48,3.17,0.31,Carolina Hurricanes,0,1,Rangers
2024-03-12,Dallas Stars,Florida Panthers,3.26,3.7,-0.44,Florida Panthers,3,4,Panthers
2024-03-12,Minnesota Wild,Arizona Coyotes,3.8,3.26,0.54,Minnesota Wild,4,1,Wild
2024-03-12,Chicago Blackhawks,Anaheim Ducks,3.54,3.98,-0.44,Anaheim Ducks,7,2,Blackhawks
2024-03-12,Calgary Flames,Colorado Avalanche,3.08,3.96,-0.88,Colorado Avalanche,2,6,Avalanche
2024-03-12,Seattle Kraken,Vegas Golden Knights,3.61,3.39,0.22,Seattle Kraken,4,5,Golden Knights
2024-03-13,St Louis Blues,Los Angeles Kings,2.69,3.92,-1.23,Los Angeles Kings,3,1,Blues
2024-03-13,Winnipeg Jets,Nashville Predators,3.23,3.19,0.04,Winnipeg Jets,2,4,Predators
2024-03-13,Edmonton Oilers,Washington Capitals,3.87,3.69,0.18,Edmonton Oilers,7,2,Oilers
2024-03-13,Vancouver Canucks,Colorado Avalanche,2.89,3.58,-0.69,Colorado Avalanche,3,4,Avalanche
