Team,CF%,CF%,GF%,GF%,xGF%,xGF%,HDCF%,HDCF%,SH%,SH%,
Vegas Golden Knights,32,42.46,23,46.43,26,46.24,28,43.36,5,10.16,
Columbus Blue Jackets,19,49.9,10,53.49,9,53.07,21,48.76,14,8.95,

Florida Panthers,4,54.09,1,64.71,5,54.55,7,54.5,27,7.31,
New York Rangers,27,44.7,4,58.54,31,40.51,30,40.64,13,9.06,

Boston Bruins,26,46.34,24,46.15,18,49.14,18,49.61,20,8.28,
Toronto Maple Leafs,16,50.26,5,58.06,6,54.24,3,55.95,3,10.65,

St Louis Blues,30,43.69,27,45.0,32,39.45,31,37.88,19,8.33,
Philadelphia Flyers,5,53.04,14,50.98,10,52.76,11,51.85,15,8.61,

Chicago Blackhawks,31,43.49,32,31.11,28,43.15,27,43.38,32,5.96,
Colorado Avalanche,20,49.49,12,52.08,17,49.66,10,52.59,25,7.79,

Seattle Kraken,15,50.63,16,50.0,25,47.34,26,43.79,30,6.7,
Calgary Flames,9,52.18,8,55.32,13,51.83,22,48.72,7,9.89,

